,level_0,index,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
259,259,259,EM66435,Oregon,F,Bachelor,262331.0,80210,65,1/0/00,Corporate Auto,Four-Door Car,20
260,260,260,QX45933,California,M,Bachelor,1784019.0,0,62,1/0/00,Personal Auto,Four-Door Car,385
261,261,261,JI71369,California,F,College,510611.0,30110,64,1/0/00,Personal Auto,Four-Door Car,140
262,262,262,JU93290,Arizona,F,College,1793060.0,21708,68,1/0/00,Personal Auto,Four-Door Car,326
263,263,263,GU66096,Arizona,M,High School or Below,545734.0,94731,67,1/0/00,Personal Auto,Four-Door Car,321
264,264,264,UC33108,California,M,Bachelor,656364.0,32375,83,1/0/00,Personal Auto,Four-Door Car,398
265,265,265,LW93867,Oregon,M,College,481252.0,16531,63,1/0/00,Corporate Auto,Four-Door Car,102
266,266,266,OU78470,Arizona,F,Master,2932804.0,32006,94,1/0/00,Corporate Auto,Four-Door Car,56
267,267,267,XW90265,Arizona,F,Bachelor,577352.0,81676,72,1/0/00,Personal Auto,Two-Door Car,463
268,268,268,HS67749,California,M,College,684711.0,71038,86,1/0/00,Corporate Auto,Four-Door Car,205
269,269,269,VZ51506,Arizona,F,High School or Below,359531.0,0,103,1/0/00,Corporate Auto,Luxury,741
270,270,270,UI64281,Nevada,F,Master,2285561.0,20832,65,1/0/00,Personal Auto,Two-Door Car,56
271,271,271,AE98193,Washington,M,High School or Below,785941.0,0,113,1/0/00,Personal Auto,SUV,813
272,272,272,AZ74055,Oregon,M,High School or Below,411557.0,52405,103,1/0/00,Personal Auto,Four-Door Car,494
273,273,273,XS76911,Arizona,F,High School or Below,502963.0,0,133,1/0/00,Personal Auto,Luxury,795
274,274,274,AY40674,Washington,F,Bachelor,482141.0,26583,1005,1/4/00,Personal Auto,SUV,614
275,275,275,NA12740,Oregon,M,Master,500431.0,25486,65,1/0/00,Special Auto,Two-Door Car,72
276,276,276,UA84837,Arizona,M,College,863005.0,24065,111,1/0/00,Corporate Auto,Four-Door Car,532
277,277,277,DJ51510,Arizona,F,High School or Below,932208.0,70435,116,1/0/00,Personal Auto,Four-Door Car,67
278,278,278,VM58985,California,M,College,1672756.0,0,76,1/2/00,Personal Auto,Two-Door Car,402
279,279,279,OH60605,Oregon,F,High School or Below,365253.0,39679,92,1/0/00,Personal Auto,Two-Door Car,641
280,280,280,UO98052,Nevada,M,College,615860.0,0,89,1/0/00,Personal Auto,Four-Door Car,342
281,281,281,NC53424,California,M,Bachelor,437608.0,0,69,1/4/00,Personal Auto,Two-Door Car,331
282,282,282,LQ13873,Nevada,M,High School or Below,556945.0,53565,71,1/1/00,Personal Auto,Four-Door Car,340
283,283,283,LA97014,Washington,M,Bachelor,257651.0,37574,66,1/1/00,Personal Auto,Two-Door Car,412
284,284,284,NB79936,Washington,M,Bachelor,834698.0,48259,108,1/0/00,Personal Auto,Two-Door Car,73
285,285,285,NT89061,Arizona,F,High School or Below,632392.0,78532,78,1/0/00,Personal Auto,Four-Door Car,374
286,286,286,AF10970,Arizona,F,Bachelor,597314.0,96163,73,1/0/00,Corporate Auto,Four-Door Car,350
287,287,287,ZG48513,California,M,Bachelor,470667.0,0,72,1/0/00,Personal Auto,Four-Door Car,345
288,288,288,JQ59145,California,M,High School or Below,809341.0,0,114,1/1/00,Personal Auto,Luxury,722
289,289,289,FE84989,Washington,M,College,503574.0,72672,63,1/0/00,Personal Auto,Four-Door Car,259
290,290,290,JT52858,Oregon,F,Bachelor,902786.0,99002,112,1/1/00,Personal Auto,Four-Door Car,537
291,291,291,MC62068,California,M,High School or Below,728888.0,79494,91,1/0/00,Personal Auto,Four-Door Car,396
292,292,292,EU27538,Oregon,M,Master,1804247.0,35704,225,1/0/00,Personal Auto,Luxury,358
293,293,293,RH42306,Arizona,F,Bachelor,499206.0,0,71,1/0/00,Corporate Auto,Four-Door Car,653
294,294,294,US23612,Oregon,F,High School or Below,910226.0,26049,118,1/0/00,Personal Auto,Two-Door Car,121
295,295,295,WV76014,Arizona,M,Doctor,254040.0,70125,64,1/0/00,Special Auto,Four-Door Car,92
296,296,296,RK96223,California,M,College,1294189.0,52369,110,1/1/00,Personal Auto,SUV,528
297,297,297,MF82000,Washington,F,Bachelor,236534.0,0,66,1/2/00,Special Auto,Four-Door Car,159
298,298,298,FM46980,Arizona,M,College,572076.0,41770,72,1/0/00,Personal Auto,Four-Door Car,476
299,299,299,SY56792,Oregon,M,High School or Below,703553.0,0,101,1/0/00,Corporate Auto,Four-Door Car,727
300,300,300,RF61565,California,M,College,263697.0,31911,67,1/0/00,Personal Auto,Four-Door Car,321
301,301,301,IM94808,Nevada,M,Bachelor,539583.0,70051,68,1/0/00,Corporate Auto,Four-Door Car,42
302,302,302,VI14730,Oregon,M,High School or Below,838263.0,19683,117,1/1/00,Personal Auto,Luxury,561
303,303,303,YR34119,Washington,F,College,3116174.0,30916,112,1/0/00,Personal Auto,SUV,200
304,304,304,RR77985,Oregon,F,Bachelor,288774.0,0,80,1/0/00,Personal Auto,Four-Door Car,676
305,305,305,QD28391,Washington,M,College,742584.0,84302,62,1/0/00,Personal Auto,Four-Door Car,76
306,306,306,WV17090,California,M,Bachelor,2558572.0,0,116,1/0/00,Corporate Auto,SUV,830
307,307,307,TM23514,Oregon,M,College,1027260.0,60145,132,1/0/00,Personal Auto,SUV,580
308,308,308,MQ68407,Oregon,F,Bachelor,437636.0,63774,111,1/0/00,Personal Auto,Four-Door Car,60
309,309,309,GJ59592,California,F,Bachelor,531889.0,25134,67,1/0/00,Corporate Auto,Four-Door Car,321
310,310,310,FY56083,Oregon,M,Bachelor,471976.0,37057,61,1/1/00,Personal Auto,Four-Door Car,47
311,311,311,UA94723,Oregon,F,High School or Below,442803.0,58577,110,1/0/00,Personal Auto,SUV,303
312,312,312,FW91032,California,M,High School or Below,587917.0,85857,73,1/0/00,Corporate Auto,Four-Door Car,100
313,313,313,DE34457,Oregon,F,Doctor,941690.0,70602,116,1/0/00,Personal Auto,SUV,481
314,314,314,HD32044,Oregon,F,Master,828815.0,33816,106,1/2/00,Corporate Auto,Four-Door Car,508
315,315,315,HH30454,Oregon,M,Bachelor,3265483.0,0,153,1/0/00,Personal Auto,SUV,1101
316,316,316,AH84063,Oregon,F,College,471945.0,89642,121,1/4/00,Corporate Auto,SUV,86
317,317,317,QA17596,California,F,Bachelor,390347.0,60068,98,1/0/00,Personal Auto,Two-Door Car,470
318,318,318,XI41052,California,F,Bachelor,545725.0,50044,139,1/0/00,Personal Auto,SUV,667
319,319,319,DI30528,California,F,Master,272535.0,36650,69,1/1/00,Personal Auto,Four-Door Car,56
320,320,320,SC66359,Arizona,F,College,443397.0,50653,110,1/0/00,Corporate Auto,SUV,262
321,321,321,EN61670,Arizona,F,Doctor,533246.0,68931,66,1/0/00,Personal Auto,Four-Door Car,309
322,322,322,DQ10761,Oregon,M,Bachelor,231509.0,0,73,1/1/00,Corporate Auto,Four-Door Car,350
323,323,323,BQ51587,California,F,College,541195.0,0,73,1/0/00,Personal Auto,Four-Door Car,365
324,324,324,JE21522,California,M,Bachelor,958733.0,39266,80,1/0/00,Personal Auto,Four-Door Car,384
325,325,325,WS47147,California,M,College,2210350.0,0,102,1/0/00,Personal Auto,SUV,489
326,326,326,ZA64638,Nevada,F,High School or Below,976494.0,0,98,1/1/00,Personal Auto,Four-Door Car,705
327,327,327,EW38459,Nevada,F,Bachelor,256715.0,40864,65,1/0/00,Corporate Auto,Four-Door Car,9
328,328,328,QW87316,Oregon,F,College,265062.0,39035,68,1/0/00,Personal Auto,Four-Door Car,244
329,329,329,IC43478,California,M,Bachelor,1126436.0,34923,98,1/0/00,Personal Auto,Two-Door Car,639
330,330,330,TE34064,California,M,High School or Below,216852.0,0,63,1/0/00,Personal Auto,Four-Door Car,453
331,331,331,WU60905,California,F,High School or Below,861066.0,0,111,1/0/00,Corporate Auto,SUV,532
332,332,332,YM18992,California,F,College,283464.0,24506,71,1/0/00,Personal Auto,Two-Door Car,511
333,333,333,PD55753,Oregon,M,High School or Below,893013.0,0,82,1/0/00,Personal Auto,Four-Door Car,554
334,334,334,KU56006,Arizona,F,College,553638.0,52220,70,1/1/00,Personal Auto,Four-Door Car,336
335,335,335,MJ69973,Arizona,M,High School or Below,284085.0,0,74,1/0/00,Personal Auto,Two-Door Car,402
336,336,336,TW43626,California,M,College,808288.0,53554,67,1/0/00,Personal Auto,Four-Door Car,327
337,337,337,XX84133,California,M,Bachelor,525473.0,34476,67,1/1/00,Corporate Auto,Four-Door Car,5
338,338,338,ZW84453,Arizona,F,Bachelor,511623.0,0,70,1/0/00,Personal Auto,Four-Door Car,131
339,339,339,HO29524,California,M,College,303464.0,68205,76,1/0/00,Personal Auto,Two-Door Car,99
340,340,340,VE89726,California,F,High School or Below,802489.0,0,119,1/1/00,Personal Auto,SUV,856
341,341,341,GE87503,California,M,High School or Below,1821114.0,53690,154,1/0/00,Personal Auto,SUV,739
342,342,342,PX90263,Oregon,M,High School or Below,512156.0,0,72,1/0/00,Personal Auto,Four-Door Car,518
343,343,343,NI17718,California,F,High School or Below,215017.0,0,61,1/0/00,Personal Auto,Four-Door Car,292
344,344,344,FY32213,California,F,High School or Below,559538.0,74454,71,1/0/00,Personal Auto,Four-Door Car,340
345,345,345,RZ13254,Nevada,F,Bachelor,756282.0,0,73,1/0/00,Personal Auto,Four-Door Car,350
346,346,346,GN45013,Oregon,M,High School or Below,538585.0,29664,71,1/0/00,Personal Auto,Four-Door Car,340
347,347,347,NM39588,Washington,F,Doctor,267805.0,72450,66,1/0/00,Corporate Auto,Four-Door Car,84
348,348,348,KU84464,Nevada,F,Bachelor,942256.0,47272,79,1/3/00,Personal Auto,Four-Door Car,64
349,349,349,YH43527,Oregon,F,College,360586.0,21585,92,1/0/00,Corporate Auto,Four-Door Car,441
350,350,350,RO30676,California,F,College,776259.0,23827,106,1/2/00,Personal Auto,Four-Door Car,37
351,351,351,QL59704,Arizona,F,College,2344490.0,69906,74,1/2/00,Corporate Auto,Four-Door Car,202
352,352,352,QH19450,California,F,High School or Below,255817.0,0,72,1/0/00,Corporate Auto,Four-Door Car,345
353,353,353,SA54664,Washington,M,Master,265438.0,73196,66,1/1/00,Personal Auto,Four-Door Car,85
354,354,354,CI38330,Washington,M,Bachelor,254978.0,72217,6464,1/0/00,Personal Auto,Four-Door Car,91
355,355,355,WB38524,California,M,High School or Below,296959.0,46131,74,1/0/00,Personal Auto,Two-Door Car,355
356,356,356,CE56187,Oregon,F,Master,436312.0,54514,109,1/3/00,Personal Auto,SUV,286
357,357,357,JL19416,California,F,High School or Below,588430.0,0,161,1/0/00,Personal Auto,SUV,1159
358,358,358,JZ61422,Nevada,F,College,527219.0,96668,66,1/0/00,Personal Auto,Four-Door Car,316
359,359,359,LA13377,California,M,Doctor,550989.0,78879,69,1/1/00,Personal Auto,Four-Door Car,466
360,360,360,NC99948,Nevada,M,College,1631368.0,0,69,1/0/00,Personal Auto,Four-Door Car,331
361,361,361,QD34785,Arizona,F,Bachelor,567805.0,0,76,1/0/00,Personal Auto,Four-Door Car,364
362,362,362,RO26085,California,F,Bachelor,1210120.0,0,112,1/0/00,Personal Auto,Luxury,1252
363,363,363,ES57969,Oregon,M,Bachelor,245357.0,29735,69,1/0/00,Personal Auto,Four-Door Car,331
364,364,364,JK55587,California,M,High School or Below,507566.0,23082,65,1/0/00,Special Auto,Four-Door Car,312
365,365,365,RN97635,Arizona,M,Bachelor,321497.0,53984,80,1/0/00,Corporate Auto,Four-Door Car,421
366,366,366,BI76326,California,F,College,1227534.0,52135,156,1/0/00,Personal Auto,SUV,430
367,367,367,JA34909,California,F,College,272221.0,17576,71,1/0/00,Corporate Auto,Four-Door Car,398
368,368,368,OJ90342,Oregon,F,Bachelor,245744.0,29486,62,1/0/00,Personal Auto,Four-Door Car,7
369,369,369,CM88932,Oregon,F,Master,355484.0,58557,88,1/0/00,Corporate Auto,Four-Door Car,55
370,370,370,JJ97525,California,M,Bachelor,492954.0,25632,63,1/0/00,Personal Auto,Two-Door Car,351
371,371,371,XV21647,California,F,High School or Below,803645.0,0,112,1/0/00,Personal Auto,Luxury,806
372,372,372,MC83487,Arizona,M,Bachelor,427691.0,18768,68,1/3/00,Corporate Auto,Four-Door Car,647
373,373,373,BL90769,California,F,Bachelor,3347334.0,33190,106,1/0/00,Personal Auto,SUV,508
374,374,374,CR57148,Oregon,F,Master,596058.0,47945,74,1/0/00,Personal Auto,Two-Door Car,128
375,375,375,CP85232,Arizona,M,College,4479546.0,58778,126,1/0/00,Special Auto,SUV,302
376,376,376,YL74732,California,F,High School or Below,383211.0,15192,100,1/0/00,Personal Auto,SUV,480
377,377,377,FG16766,California,F,Bachelor,683793.0,51859,171,1/0/00,Personal Auto,SUV,1003
378,378,378,NV55438,Nevada,F,High School or Below,528526.0,23422,72,1/0/00,Personal Auto,Two-Door Car,518
379,379,379,RM10880,California,F,College,309651.0,21604,79,1/0/00,Corporate Auto,Four-Door Car,379
380,380,380,GL56175,Arizona,M,College,358971.0,79298,90,1/0/00,Personal Auto,Four-Door Car,244
381,381,381,UK52289,Arizona,F,Bachelor,258240.0,76731,64,1/0/00,Special Auto,Four-Door Car,201
382,382,382,OT85112,Washington,M,College,340391.0,38460,88,1/1/00,Personal Auto,Four-Door Car,91
383,383,383,BC62782,Arizona,F,College,1357567.0,48534,115,1/1/00,Personal Auto,SUV,552
384,384,384,TI19722,Washington,M,Doctor,343613.0,30817,88,1/0/00,Corporate Auto,Four-Door Car,91
385,385,385,JP30654,Oregon,F,College,2868582.0,48412,104,1/0/00,Personal Auto,SUV,707
386,386,386,UM45563,Washington,M,Bachelor,450267.0,68798,114,1/0/00,Personal Auto,SUV,92
387,387,387,EN60878,Oregon,M,Bachelor,618311.0,23712,85,1/0/00,Personal Auto,Four-Door Car,376
388,388,388,JF36291,California,M,College,387364.0,28142,105,1/0/00,Personal Auto,Luxury,701
389,389,389,BK59444,California,F,Master,1892933.0,72196,68,1/0/00,Personal Auto,Four-Door Car,152
390,390,390,MK70700,California,M,Master,555329.0,68197,69,1/0/00,Personal Auto,Four-Door Car,176
391,391,391,IW71076,California,M,Bachelor,501125.0,75248,63,1/0/00,Corporate Auto,Four-Door Car,104
392,392,392,AP98768,California,F,College,1044244.0,0,98,1/0/00,Personal Auto,Four-Door Car,941
393,393,393,OM24164,Nevada,M,Bachelor,219961.0,0,65,1/1/00,Personal Auto,Two-Door Car,468
394,394,394,HR85211,Washington,F,Master,512317.0,89879,63,1/0/00,Personal Auto,Two-Door Car,94
395,395,395,VC87846,Oregon,M,High School or Below,748431.0,46998,96,1/0/00,Corporate Auto,Four-Door Car,460
396,396,396,ZM92052,Oregon,M,Bachelor,261302.0,57099,67,1/0/00,Personal Auto,Two-Door Car,67
397,397,397,ON73702,Arizona,F,Bachelor,908063.0,33897,114,1/0/00,Corporate Auto,SUV,539
398,398,398,QQ90441,Nevada,F,High School or Below,1377097.0,59207,116,1/0/00,Personal Auto,Four-Door Car,556
399,399,399,HU35721,Oregon,M,High School or Below,287682.0,40171,73,1/0/00,Personal Auto,Four-Door Car,350
400,400,400,YP47665,Washington,M,Doctor,540891.0,80192,67,1/0/00,Personal Auto,Four-Door Car,95
401,401,401,FU99476,Washington,M,High School or Below,677030.0,74422,85,1/1/00,Personal Auto,Four-Door Car,95
402,402,402,AG85615,Oregon,M,College,2414387.0,0,87,1/0/00,Special Auto,Four-Door Car,626
403,403,403,OY74069,Arizona,F,College,353805.0,0,67,1/5/00,Personal Auto,Four-Door Car,321
404,404,404,DJ91267,Nevada,F,Bachelor,2909123.0,34226,244,1/0/00,Personal Auto,Luxury,494
405,405,405,KB72438,California,F,High School or Below,1983420.0,65989,123,1/1/00,Personal Auto,SUV,115
406,406,406,TR67616,Oregon,M,High School or Below,473136.0,30686,61,1/0/00,Corporate Auto,Four-Door Car,19
407,407,407,GF65731,California,F,Master,3553784.0,0,113,1/0/00,Personal Auto,Luxury,799
408,408,408,HB67642,Arizona,F,High School or Below,3461137.0,20090,109,1/0/00,Personal Auto,Luxury,523
409,409,409,DP84567,California,M,High School or Below,2021630.0,0,183,1/0/00,Personal Auto,Luxury,878
410,410,410,VV77534,Oregon,M,College,1397651.0,77094,176,1/0/00,Personal Auto,SUV,444
411,411,411,GL67540,California,F,College,590408.0,97413,73,1/0/00,Personal Auto,Four-Door Car,268
412,412,412,SV50502,Oregon,F,Master,559583.0,79189,69,1/0/00,Corporate Auto,Four-Door Car,331
413,413,413,UK59698,California,F,High School or Below,229430.0,0,62,1/0/00,Personal Auto,Two-Door Car,297
414,414,414,OA57352,Arizona,F,College,627391.0,18577,86,1/0/00,Personal Auto,Four-Door Car,412
415,415,415,ZF84449,Oregon,F,College,372672.0,0,112,1/1/00,Special Auto,Luxury,806
416,416,416,AX86150,Washington,M,High School or Below,265671.0,62777,67,1/0/00,Personal Auto,Two-Door Car,101
417,417,417,HG39060,Oregon,M,Bachelor,511068.0,0,74,1/0/00,Corporate Auto,Four-Door Car,532
418,418,418,EM29359,Nevada,M,College,712659.0,17483,183,1/0/00,Personal Auto,Luxury,1317
419,419,419,SF57173,Oregon,M,Master,460163.0,84394,114,1/0/00,Personal Auto,SUV,691
420,420,420,OT47603,Oregon,M,College,915523.0,0,127,1/0/00,Personal Auto,Luxury,804
421,421,421,SW31412,Oregon,F,College,1480805.0,41440,62,1/1/00,Personal Auto,Four-Door Car,297
422,422,422,JS36322,Arizona,M,High School or Below,890167.0,0,136,1/1/00,Personal Auto,Luxury,1090
423,423,423,RE81445,Oregon,F,College,573459.0,98132,71,1/0/00,Personal Auto,Two-Door Car,50
424,424,424,RM24280,Oregon,F,High School or Below,417769.0,0,112,1/0/00,Personal Auto,Four-Door Car,537
425,425,425,LC25393,California,M,Bachelor,2777628.0,88220,230,1/0/00,Personal Auto,Luxury,151
426,426,426,UX38930,Arizona,F,Master,1036434.0,58327,129,1/0/00,Personal Auto,SUV,347
427,427,427,HD95496,Oregon,M,Master,785190.0,25950,66,1/0/00,Personal Auto,Two-Door Car,271
428,428,428,RX24650,Oregon,M,High School or Below,477294.0,20993,133,1/0/00,Corporate Auto,SUV,638
429,429,429,DW19309,Oregon,M,High School or Below,1422650.0,65726,177,1/0/00,Corporate Auto,SUV,849
430,430,430,MT41386,Washington,M,Bachelor,287543.0,84768,72,1/0/00,Personal Auto,Two-Door Car,110
431,431,431,WZ40465,Washington,F,Bachelor,504129.0,36234,63,1/0/00,Personal Auto,Four-Door Car,113
432,432,432,DB42794,California,M,College,436293.0,58842,110,1/0/00,Personal Auto,Four-Door Car,528
433,433,433,JB50798,Oregon,F,Master,962452.0,25629,124,1/2/00,Corporate Auto,Luxury,595
434,434,434,IP69763,Washington,F,College,2191440.0,77311,181,1/0/00,Personal Auto,SUV,113
435,435,435,TE35785,California,M,Doctor,694842.0,0,196,1/2/00,Personal Auto,Luxury,1337
436,436,436,HX74855,Washington,M,High School or Below,247152.0,95697,61,1/0/00,Personal Auto,Two-Door Car,114
437,437,437,QN65180,Oregon,F,Bachelor,2190391.0,22254,79,1/0/00,Personal Auto,Four-Door Car,125
438,438,438,GE47180,Nevada,M,High School or Below,902882.0,65974,113,1/0/00,Personal Auto,Luxury,235
439,439,439,VQ38776,Oregon,F,College,530375.0,0,76,1/0/00,Personal Auto,Four-Door Car,395
440,440,440,BH86846,Washington,M,High School or Below,2070825.0,92079,65,1/1/00,Corporate Auto,Four-Door Car,114
441,441,441,IN17648,Nevada,M,High School or Below,512376.0,0,74,1/0/00,Personal Auto,Two-Door Car,772
442,442,442,DF95759,Oregon,M,College,949234.0,0,132,1/0/00,Personal Auto,SUV,633
443,443,443,QG45324,Oregon,F,High School or Below,820486.0,0,73,1/0/00,Personal Auto,Four-Door Car,350
444,444,444,MN61620,Arizona,F,College,987729.0,67752,131,1/4/00,Personal Auto,Luxury,168
445,445,445,YH86390,California,F,Bachelor,481500.0,25398,64,1/0/00,Corporate Auto,Four-Door Car,307
446,446,446,FY13480,California,M,High School or Below,627701.0,0,88,1/0/00,Personal Auto,Four-Door Car,633
447,447,447,YH61661,California,M,High School or Below,826063.0,33321,105,1/0/00,Special Auto,SUV,504
448,448,448,NL93182,Nevada,M,Bachelor,254945.0,0,78,1/0/00,Corporate Auto,Four-Door Car,845
449,449,449,LN31673,Washington,,College,1131808.0,38923,99,1/2/00,Personal Auto,Four-Door Car,115
450,450,450,WE68644,Oregon,F,Bachelor,380392.0,20325,100,1/0/00,Personal Auto,Luxury,668
451,451,451,EZ30498,Oregon,M,Bachelor,863540.0,13129,117,1/0/00,Personal Auto,SUV,700
452,452,452,QY74517,Oregon,F,High School or Below,551055.0,0,73,1/0/00,Personal Auto,Four-Door Car,525
453,453,453,NM88660,Nevada,M,Master,358588.0,49080,91,1/0/00,Corporate Auto,Four-Door Car,25
454,454,454,MZ82036,Nevada,M,College,488925.0,42536,63,1/0/00,Personal Auto,Four-Door Car,375
455,455,455,ID20929,Oregon,M,Bachelor,275694.0,29926,74,1/0/00,Corporate Auto,Four-Door Car,418
456,456,456,EY50028,Nevada,M,Doctor,328954.0,0,86,1/0/00,Corporate Auto,Two-Door Car,398
457,457,457,TT82373,California,F,Bachelor,1093717.0,21450,138,1/0/00,Personal Auto,Luxury,938
458,458,458,OH64088,California,M,High School or Below,737556.0,33345,65,1/0/00,Corporate Auto,Four-Door Car,338
459,459,459,SK97780,California,F,Bachelor,1011077.0,15752,90,1/0/00,Corporate Auto,Two-Door Car,339
460,460,460,IO33050,Oregon,F,High School or Below,511941.0,40169,65,1/1/00,Personal Auto,Four-Door Car,302
461,461,461,XA55917,California,F,College,853383.0,26049,113,1/1/00,Personal Auto,SUV,619
462,462,462,JK32620,Nevada,M,College,222476.0,0,68,1/0/00,Personal Auto,Four-Door Car,326
463,463,463,RQ19236,Arizona,M,Doctor,804280.0,55411,100,1/0/00,Personal Auto,Luxury,259
464,464,464,QC47433,Oregon,M,College,255443.0,12459,70,1/0/00,Personal Auto,Four-Door Car,336
465,465,465,RA93608,Oregon,M,Bachelor,1807394.0,64620,76,1/1/00,Personal Auto,Two-Door Car,364
466,466,466,XH97711,California,M,Bachelor,243050.0,83140,61,1/0/00,Corporate Auto,Four-Door Car,179
467,467,467,AU96286,Oregon,F,Bachelor,316765.0,0,92,1/0/00,Corporate Auto,Four-Door Car,662
468,468,468,KC17170,Arizona,F,Bachelor,546560.0,54422,68,1/0/00,Corporate Auto,Four-Door Car,75
469,469,469,ZN47335,California,M,College,1035751.0,68309,131,1/0/00,Corporate Auto,SUV,306
470,470,470,EI46264,California,M,High School or Below,253781.0,56621,65,1/2/00,Personal Auto,Four-Door Car,84
471,471,471,EK87864,Arizona,F,College,282194.0,38977,70,1/0/00,Special Auto,Four-Door Car,139
472,472,472,GV45403,Arizona,M,Bachelor,775712.0,0,111,1/0/00,Corporate Auto,Two-Door Car,607
473,473,473,QK31192,Arizona,M,High School or Below,407913.0,0,114,1/0/00,Corporate Auto,Two-Door Car,631
474,474,474,LU89008,Arizona,F,College,595554.0,0,83,1/0/00,Personal Auto,Four-Door Car,628
475,475,475,NS10490,Oregon,F,Bachelor,1415861.0,83235,70,1/0/00,Personal Auto,Two-Door Car,336
476,476,476,KL98495,Nevada,M,College,848723.0,0,74,1/0/00,Personal Auto,Two-Door Car,426
477,477,477,IU96845,Arizona,M,College,628547.0,32390,80,1/0/00,Personal Auto,Four-Door Car,91
478,478,478,QL93655,Oregon,F,High School or Below,1147348.0,66538,95,1/0/00,Personal Auto,Two-Door Car,317
479,479,479,PF40592,Washington,F,College,494263.0,23285,65,1/0/00,Personal Auto,Two-Door Car,118
480,480,480,LZ34046,Oregon,M,Bachelor,2359468.0,76358,66,1/0/00,Personal Auto,Four-Door Car,86
481,481,481,JC80093,Washington,M,Master,257250.0,21104,66,1/0/00,Personal Auto,Four-Door Car,118
482,482,482,YE88490,Arizona,F,College,538089.0,55350,67,1/0/00,Personal Auto,Four-Door Car,321
483,483,483,YC80498,California,F,College,477055.0,12964,65,1/0/00,Personal Auto,Two-Door Car,362
484,484,484,AI85843,Arizona,F,Master,675665.0,33288,86,1/2/00,Personal Auto,Four-Door Car,221
485,485,485,XD66024,Arizona,F,College,593601.0,0,84,1/0/00,Personal Auto,Four-Door Car,980
486,486,486,FY51713,Arizona,F,Bachelor,357076.0,56168,88,1/0/00,Personal Auto,Four-Door Car,614
487,487,487,PH26378,California,M,College,601996.0,0,92,1/0/00,Personal Auto,Four-Door Car,662
488,488,488,WQ18638,Oregon,M,High School or Below,542686.0,23105,69,1/0/00,Personal Auto,Two-Door Car,331
489,489,489,KY14688,Oregon,F,Master,273031.0,36218,68,1/0/00,Personal Auto,Four-Door Car,145
490,490,490,TC97762,California,F,High School or Below,498268.0,52275,62,1/0/00,Corporate Auto,Four-Door Car,374
491,491,491,QC87108,Oregon,F,College,876926.0,49665,74,1/0/00,Personal Auto,Four-Door Car,355
492,492,492,CX12134,Nevada,M,High School or Below,422061.0,32471,110,1/0/00,Personal Auto,Two-Door Car,528
493,493,493,SM73248,Arizona,M,High School or Below,1153750.0,0,86,1/1/00,Corporate Auto,Two-Door Car,619
494,494,494,CK19789,California,F,Master,588718.0,62773,73,1/0/00,Personal Auto,Four-Door Car,80
495,495,495,UV12583,California,F,College,470058.0,76694,117,1/0/00,Personal Auto,SUV,561
496,496,496,JC11405,Oregon,M,High School or Below,1096395.0,55687,276,1/0/00,Personal Auto,Luxury,1324
497,497,497,KA89683,Arizona,F,High School or Below,252317.0,0,70,1/0/00,Personal Auto,Four-Door Car,504
498,498,498,BG85305,Nevada,M,Doctor,375780.0,36633,96,1/1/00,Personal Auto,Four-Door Car,460
499,499,499,UQ87917,Oregon,M,High School or Below,1294173.0,77060,106,1/0/00,Personal Auto,SUV,468
500,500,500,XN11823,Nevada,F,Bachelor,376446.0,92600,94,1/0/00,Corporate Auto,Two-Door Car,842
501,501,501,OS46571,California,M,High School or Below,688955.0,0,66,1/0/00,Personal Auto,Four-Door Car,475
502,502,502,PX17116,Nevada,M,College,362345.0,0,111,1/2/00,Corporate Auto,SUV,1171
503,503,503,RP19541,Arizona,M,College,758211.0,64801,64,1/0/00,Personal Auto,Four-Door Car,268
504,504,504,ZR25747,Oregon,F,College,827774.0,45257,103,1/0/00,Corporate Auto,Two-Door Car,494
505,505,505,NQ86532,California,M,High School or Below,257645.0,26854,66,1/0/00,Personal Auto,Four-Door Car,475
506,506,506,JY27336,Oregon,F,College,820538.0,85840,102,1/2/00,Corporate Auto,SUV,138
507,507,507,PB54378,Oregon,F,Doctor,1958246.0,26463,72,1/0/00,Corporate Auto,Four-Door Car,345
508,508,508,SV38190,Nevada,F,Bachelor,648152.0,30689,81,1/0/00,Personal Auto,Four-Door Car,467
509,509,509,CV24005,Oregon,M,High School or Below,259931.0,29590,66,1/0/00,Corporate Auto,Two-Door Car,467
510,510,510,EX28656,Oregon,F,College,983033.0,25965,253,1/0/00,Personal Auto,Luxury,1214
511,511,511,CF57022,Oregon,M,Bachelor,1044265.0,17269,139,1/0/00,Personal Auto,SUV,667
512,512,512,GM16780,Oregon,M,College,3605753.0,90330,137,1/3/00,Corporate Auto,Luxury,192
513,513,513,BX94438,California,F,High School or Below,847003.0,0,113,1/0/00,Corporate Auto,SUV,619
514,514,514,RM41745,California,F,High School or Below,827878.0,0,110,1/0/00,Personal Auto,Four-Door Car,1002
515,515,515,XR70252,California,F,High School or Below,478893.0,0,67,1/1/00,Personal Auto,Two-Door Car,321
516,516,516,YH92099,Arizona,F,Bachelor,308799.0,18558,80,1/0/00,Special Auto,Four-Door Car,384
517,517,517,SG81493,Arizona,M,Bachelor,444373.0,46384,113,1/0/00,Corporate Auto,Four-Door Car,251
